Name,City,State,Zip,EIN,Source,Goals,Category of Work,Methods,Focus Areas
 City of Plainview,Plainview,TX,79072,756000639,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
 ERAS SENIOR NETWORK INC,Waukesha,WI,53188,391393171,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
 Ohio Department of Natural Resources,Columbus,OH,43229,311334820,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
(This One) Idaho State University,Pocatello,ID,83201,826000924,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
18 Reasons,San Francisco,CA,94110,453059509,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"826 Boston, Inc.",Roxbury,MA,02119,208065915,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
826LA,Los Angeles,CA,90026,383722092,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
916 Ink,Sacramento,CA,95824,460705510,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"A Million Stars, Inc.",Saint Louis,MO,63103,204768985,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
A SAFE HAVEN FOUNDATION,Chicago,IL,60608,364444200,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
A.C.E. OF SOUTHWEST MINNESOTA,Slayton,MN,56172,411242095,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures; Veterans and Military Families
AARP Foundation,Washington,DC,20049,520794300,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
AB Christian Learning Center,Fort Worth,TX,76112,270141151,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
ACCEL,Phoenix,AZ,85051,953497070,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
ACOMERPR Corporation,Mayaguez,PR,00680,660944244,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
"ACTION FOR BOSTON COMMUNITY DEVELOPMENT, INC",Boston,MA,02111,042304133,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
ACTION RESOURCES INTERNATIONAL,Laramie,WY,82072,841296410,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"ADAMS, COUNTY OF",Brighton,CO,80601,846000732,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
"ADMINISTRATION, ALASKA DEPARTMENT OF",Juneau,AK,99801,926001185,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"ADMINISTRATION, WISCONSIN DEPARTMENT OF",Madison,WI,53703,396028867,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE",New Orleans,LA,70118,720423889,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families
ADVOCAP Inc,Fond Du Lac,WI,54935,391053365,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
AFTER-SCHOOL ALL-STARS,Los Angeles,CA,90048,954441208,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
"AGENCY ON AGING OF SOUTH CENTRAL CONNECTICUT, INC",North Haven,CT,06473,060915531,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
AGING AND COMMUNITY SERVICES OF SOUTH CENTRAL INDIANA INC,Columbus,IN,47201,311017271,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"AGRICULTURE, CONSERVATION & FORESTRY, MAINE DEPARTMENT OF",Augusta,ME,04333,016000001,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship; Healthy Futures
ALASKA DEPARTMENT OF COMMERCE COMMUNITY & ECONOMIC DEVELOPMENT,Anchorage,AK,99501,926001185,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
ALPINE ACHIEVERS INITIATIVE,Alamosa,CO,81101,811469355,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
ALU LIKE Inc.,Honolulu,HI,96819,510151095,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
AMERICORPS SENIORS/RSVP,Adamsville,TN,38310,620930682,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
ANDREW COUNTY MINISTRIES INC,Savannah,MO,64485,431136856,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"ANIZ, INC.",Atlanta,GA,30303,582272426,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
ARC JACKSONVILLE INC,Jacksonville,FL,32209,596209603,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
"ARC OF PALM BEACH COUNTY, INC., THE",Riviera Beach,FL,33404,590883386,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
AREA 10 AGENCY,Ellettsville,IN,47429,310955307,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
AREA AGENCY ON AGING FOR,Towanda,PA,18848,271773562,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
AROOSTOOK AREA AGENCY ON AGING INC,Presque Isle,ME,04769,010322531,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
ARcare,Augusta,AR,72006,581666179,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
AUSTIN ACHIEVE PUBLIC SCHOOLS,Austin,TX,78723,273700807,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"AUSTIN, CITY OF",Austin,TX,78744,746000085,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Able South Carolina,Columbia,SC,29210,582336332,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Above and Beyond Family Recovery Center,Chicago,IL,60612,473675424,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Academy for Urban School Leadership,Chicago,IL,60634,364447457,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Achievement First, Inc.",New Haven,CT,06513,651203744,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"Action For Eastern Montana, Inc",Glendive,MT,59330,810297418,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Adult Learning Alliance, Inc.",Little Rock,AR,72201,710690604,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Affordable Living for the Aging,West Hollywood,CA,90046,953301874,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
After Military Service,Houston,TX,77003,822280328,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Veterans and Military Families
"Age Well, Inc.",Colchester,VT,05446,222474636,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
AgingNext Inc,Claremont,CA,91711,953100466,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Agriculture, Montana Department of",Helena,MT,59601,810302402,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship
"Aiken/Barnwell Counties Community Action Agency, Inc.",Aiken,SC,29801,570476234,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Akron Summit Comm Action,Akron,OH,44308,340965339,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Alabama A&M University,Normal,AL,35762,636001097,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Alabama Association of Habitat Affiliates (AAHA),Auburn,AL,36831,631140499,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Alabama Commission on Higher Education,Montgomery,AL,36104,636000619,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Alabama Rural Ministry,Auburn,AL,36831,631282477,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Alabama State University,Montgomery,AL,36104,636001101,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Alamo Area Council of Governments,San Antonio,TX,78217,741557491,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Alaska Children's Trust,Anchorage,AK,99503,911765129,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Alaska Pacific University,Anchorage,AK,99508,920023588,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Albion College,Albion,MI,49224,381359081,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
