Name,Record ID,Organization Full Name,Trimmed Name,Shorthand,Type,Sub-Type,EIN,EIN searched,Parent Org,Website,Mission/Description,Network Membership,# Networks,Network Founder,Maps Managed,Tech Tools,People,Street,City,State,Zip,General Contact Email,Org Phone,Location Scope,Location Notes,Data Source,Tax Class/Subsection,Subsection Description,nonprofit class w description,NTEE Code,Goals,Category of Work,Methods,Self-Identified Ideology,Funder Type,External Schema,DFN Coding,Candid Subject,Candid Population,CC Primary Work,CC Topic(s),CC Work Area(s),CC Audiences,Link to Agora,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2016 Revenue,2015 Revenue,Full Data,FLAG FOR REVIEW,Reason for flag/review,Flagged/unflagged by,Notes,Last modified,Created by,Orgs & Funders table,Latest Tax Year (from Link to Agora),DFN 990 data,Last modified by,Ruling Year,IRS Org Name,Resolved,Resolved by,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude
Woodmen of the World-Omaha Woodmen Life Insurance Society,10174,Woodmen of the World-Omaha Woodmen Life Insurance Society,Woodmen of the World-Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,57-0723114,,,,,,0,,,,,PO Box 93,Society Hill,SC,29593,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World-Omaha Woodmen Life Insurance Society,10175,Woodmen of the World-Omaha Woodmen Life Insurance Society,Woodmen of the World-Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,55-0622775,,,,,,0,,,,,1700 Farnam St,Omaha,NE,68102,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World-Omaha Woodmen Life Insurance Society,10176,Woodmen of the World-Omaha Woodmen Life Insurance Society,Woodmen of the World-Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,38-2196450,,,,,,0,,,,,1700 Farnam St,Omaha,NE,68102,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen TX-1996,10173,Woodmen of the World Omaha Woodmen TX-1996,Woodmen of the World Omaha Woodmen TX-1996,,Practitioner Organization,Chapter,23-7630259,,,,,,0,,,,,PO Box 210,Pattison,TX,77466,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9191,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630823,,,,,,0,,,,,1727 Roellen Newbern Rd,Dyersburg,TN,38024,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9192,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629220,,,,,,0,,,,,105 Lansdowne Ct,Madison,AL,35757,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9193,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7631115,,,,,,0,,,,,464 Davis Pond Rd,Swansea,SC,29160,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9194,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,36-3963406,,,,,,0,,,,,911 Osborn Ave,Kennett,MO,63857,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9195,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,51-0237054,,,,,,0,,,,,165 Covington Ln,Waco,KY,40385,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9196,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630229,,,,,,0,,,,,FM 1544 219a,Sweetwater,TX,79556,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
