Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Texas Civic Education Coalition,,,,Practitioner Organization,,iCivics,https://texasciviceducationcoalition.org/,We are a cross-partisan coalition of over 40 organizations with a mission to improve Texas’s civic education.,Texas Civic Education Coalition,,,,TX,,Texas@iCivics.org,,State - single,"Education,Professional Training,Policy Advocacy and Analysis",Civic Education / Learning,,,,,Civic Education,CivXNow,,,,NA,NA,
Abilene Crime Stoppers,75-1753978,501(c)(3),,Practitioner Organization,,,http://www.abilenecrimestoppers.com/sitemenu.aspx?ID=126&,"Founded March 1981, Abilene Crime Stoppers, Inc. mission is to carry out a community offensive against crime through law enforcement, the media and citizen involvement, encouraging all citizens to report anonymous information about criminal activities. Offering rewards for information that helps Law Enforcement solve unsolved crimes, and arrest wanted fugitives. Abilene Crime Stoppers, achieve this goal by maintaining a Crime Stoppers Hotline, 325 676-TIPS, Website www.abilenecrimestoppers.com and free P3Tips App for smart phones. Where anonymous tips can be communicated and received. 

Tips are then forwarded to the investigating law enforcement agency helping to solve unsolved felony crimes and arrest wanted fugitives. By offering a cash reward and guaranteeing anonymity, helps tipsters to overcome their fear of retaliation and their reluctant to be involved. It gives tipsters the ability to cooperate with their respective law enforcement agencies and keep their community safer.  
 
Abilene Crime Stoppers under its umbrella funds and oversees the Campus crime stoppers program, known as Abilene Taylor County Campus Crime Stoppers. This program includes Abilene Independent School District (AISD), Wylie ISD, Trent ISD and Jim Ned ISD. The campus crime stoppers program is coordinated through the school resource officer (SRO) or school administrator or sponsor that has been assigned to the campus crime stoppers program. Tip received about criminal activity on campus is forwarded to the school resource officer or proper law enforcement agency for follow-up, helping to keep our schools safer for all students to learn and become leaders of tomorrow. 
Abilene Crime Stoppers encompasses all communities and Independent school districts in Taylor County, Texas.   ",,Rick Dorman,PO Box 717,Abilene,TX,79604,abilenecrimestoppers@gmail.com,,Community/Local - single,"Youth Engagement,Communications",,,,Do crime reporting organizations fall under democracy work? falls under public safety and security - resolved 05/02,,Safety and Security,,,,,32.44645,-99.7475905,
Woodmen of the World Life Insurance Society,23-7630185,501(c)(8),,Practitioner Organization,Chapter,,,,,,3125 Melinda Ln,Abilene,TX,79603,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.44645,-99.7475905,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7629136,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 5589,Abilene,TX,79608,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.44645,-99.7475905,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630526,501(c)(8),,Practitioner Organization,Chapter,,,,,,2449 S Willis St Ste 101 # 5589,Abilene,TX,79605,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.44645,-99.7475905,
Woodmen of the World Life Insurance Society,23-7630406,501(c)(8),,Practitioner Organization,Chapter,,,,,,1006 Bruce St,Alice,TX,78332,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,27.7522487,-98.0697249,
Change the World Allen,83-3940450,501(c)(3),,,,,https://changetheworldallen.org/,"Change the World Allen is dedicated to developing a stronger and more resilient Allen-Lucas-Fairview community by encouraging acts of service between neighbors.   We are a 501C non-profit that equips and mobilizes community members to share their talents and help others.

Children, teens, and adults can choose from a variety of community-wide projects that serve those who need help maintaining their homes, are hungry, lonely, in need of clothing, seeking safe shelter, or longing for comfort.

 We begin each spring with Change the World Weekend.  Volunteers form work teams for various projects including home repair and yardwork, as well as food and Military support packaging.  We continue this work throughout the year as needed.",,,601 S. Greenville Ave,Allen,TX,75002,changetheworldallen@gmail.com,,Community/Local - single,"Service and Volunteerism,Community-Building / Networking,Food Justice and Access",Service & Volunteerism,,,,,Service & Volunteerism,,,,,33.1031744,-96.6705503,
Amarillo Independent School District,756000036,,,,,,,,,,,Amarillo,TX,79106,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,35.20729,-101.8371192,
Amarillo United Citizens Forum,75-1898840,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/amarillobhcc/,"THE OBJECTIVE IS TO PROVIDE AND ORGANIZE A CITIZENS FORUM TO SERVE THE COMMUNITY, IMPROVE COMMUNITY LIFE, AND OPERATE AND MAINTAIN A BLACK HISTORICAL CULTURAL CENTER.",,,PO Box 2353,Amarillo,TX,79105,info.aucf@gmail.com,(806) 640-8184,Community/Local - single,,Civic Associations,,,AUCF does not have a website - only a Facebook page for the cultural center; discussed and resolved 03.28.24;,,Community Engagement and Community Building,,,,,35.20729,-101.8371192,
League of Women Voters of Amarillo,75-6043959,501(c)(3),,Practitioner Organization,Chapter,,https://alwv.clubexpress.com/,"Our Mission: Empowering voters. Defending Democracy

Our Vision: We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate. 

Our Value: We believe in the power of women to create a more perfect democracy.",,"Jenny Inzerillo,Michelle Hoggatt",PO Box 19333,Amarillo,TX,79114,amarillolwv@gmail.com,(806) 337-2148,Community/Local - single,"Advocacy,Organizing,Membership,Communications,Service and Volunteerism",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",,,,,35.20729,-101.8371192,
Panhandle Community Services,756049423,,,,,,,,,,,Amarillo,TX,79101,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,35.20729,-101.8371192,
Woodmen of the World Life Insurance Society,23-7143651,501(c)(8),,Practitioner Organization,Chapter,,,,,,8526 River Rd,Amarillo,TX,79108,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,35.20729,-101.8371192,
Woodmen of the World Life Insurance Society,76-0022200,501(c)(8),,Practitioner Organization,Chapter,,,,,,1609 Alena Rd,Angleton,TX,77515,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.16941,-95.4318847,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630502,501(c)(8),,Practitioner Organization,Chapter,,,,,,1304 Fair Dr,Angleton,TX,77515,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.16941,-95.4318847,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630488,501(c)(8),,Practitioner Organization,Chapter,,,,,,1605 Alena Rd,Angleton,TX,77515,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.16941,-95.4318847,
Cross Timbers Equestrian Trails Association,75-2841066,501(c)(3),,Practitioner Organization,,,https://www.cteta.org/,"Welcome to Cross Timbers Equestrian Trails Association (CTETA)—a 501(c)(3) nonprofit organization dedicated to trail stewardship. Since our founding in 1993, our mission has been to develop, maintain, and preserve equestrian trails while promoting responsible trail use and safety through volunteering, education and membership.

Our goal is simple: to allow the maximum number of people to enjoy the beautiful trails of our area on horseback!
CTETA volunteers maintain more than 25 miles of trails here in North Texas. The work of our trail ambassadors helps to create a safe experience for our riders and includes clearing deadfall, cutting back brush, and mowing the grass. Without us, many of these trails would cease to exist entirely. 

As with most government agencies, the U.S. Army Corps of Engineers is faced with cutbacks and limited funds for trail improvements. Club membership dues can only go so far. Therefore, it is important to have a strong membership base, not only for funds to support the trail maintenance, but for education and a continued strong voice in local matters of trail preservation and acquisition of land for connecting trails.  ",,Susan Bodenmiller,PO BOX 155,ARGYLE,TX,76226,ctetaboard@gmail.com,,Community/Local - single,"Education,Service and Volunteerism,Communications,Membership",Service & Volunteerism,,,,,"Community Engagement and Community Building,Service & Volunteerism",,,,,33.110156,-97.179757556481,
True Texas Education Corporation,85-4347442,501(c)(3),,Practitioner Organization,,,https://truetexaseducation.com/,"THE CORPORATION IS ORGANIZED FOR EDUCATIONAL ACTIVITIES. 1. TO TEACH, CONTINUOUSLY TRAIN, AND INSPIRE TEXANS TO ENGAGE IN GOVERNMENTS AT EVERY LEVEL. 2. TO HELP TEXANS BECOME ACTIVE PARTICIPANTS IN THEIR SELF GOVERNANCE THAT IS ESTABLISHED IN OUR DECLARATION OF INDEPENDENCE, BY EMPHASIS ON HISTORIC BACKGROUND, UNDERSTANDING GOVERNMENTAL PROCESSES, ORIG DOCUMENTS, AND ANALYZING CURRENT EVENTS AS THEY RELATE TO TEXAS CITIZENS.",,,2029 WINTER SUNDAY WAY,ARLINGTON,TX,76012,admin@truetexaseducation.com,,State - single,Education,Civic Education / Learning,,,,,Civic Knowledge,,,,,32.7355816,-97.1071186,
Police Foundation - Arlington TX,73-1662006,501(c)(3),,"Practitioner Organization,Funder",,,https://arlingtonpolicefoundation.org/,"The Arlington Police Foundation supports and supplements the efforts of the Arlington, Texas Police Department through officer resources, youth programs, recognition of outstanding service and scholarships. By funding equipment and programs that might be unfunded by the city budget, The Arlington Police Foundation allows our officers to focus on what is important in our community: crime prevention and the safety of our constituents.",,Bethany Tinderholt,PO Box 2318,Arlington,TX,76004,bethany@arlingtonpolicefoundation.org,(682) 777-3253,Community/Local - single,"Funding,Youth Engagement",Civic Associations,Community Foundation,,"tag for public safety/security; 

tagged/resolved 05/02",,"Civic Infrastructure Development,Community Engagement and Community Building,Safety and Security",,,,,32.7355816,-97.1071186,
19th News,84-2627202,501(c)(3),,Practitioner Organization,,,https://19thnews.org/,"The 19th Amendment remains unfinished business, a fact we acknowledge in our logo with an asterisk — a visible reminder of those who have been omitted from our democracy. The expansion of the franchise continues today, and The 19th aims to capture this ongoing American story.

Our goal is to empower those we serve — particularly women, people of color, and those historically underserved by American media — with the information, resources and community they need to be equal participants in our democracy.",The 19th News Network,Emily Ramshaw,3571 FAR WEST BLVD 3497,AUSTIN,TX,78731,hello@19thnews.org,,,"Journalism,Print and Digital Publication,Dialogue",Civic Media,,,"Established new network in 2024; network seems to be a part of larger democracy work, but some founding partners work beyond that scope (e.g., TeenVogue); added to coaltions - resolved 05/02",,"Civic Journalism,Diversity & Inclusion",The 19th News Network,,,,30.2711286,-97.7436995,
