"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"1","City of Plainview","Plainview","TX","79072","756000639","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.1847936,-101.706841
"2","ERAS SENIOR NETWORK INC","Waukesha","WI","53188","391393171","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",43.0116784,-88.2314813
"3","Ohio Department of Natural Resources","Columbus","OH","43229","311334820","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",39.9622601,-83.0007065
"4","(This One) Idaho State University","Pocatello","ID","83201","826000924","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",42.8620287,-112.450627
"5","18 Reasons","San Francisco","CA","94110","453059509","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",37.7792588,-122.4193286
"6","826 Boston, Inc.","Roxbury","MA","02119","208065915","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3248426,-71.0950158
"7","826LA","Los Angeles","CA","90026","383722092","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",34.0536909,-118.242766
"8","916 Ink","Sacramento","CA","95824","460705510","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.5810606,-121.493895
"9","A Million Stars, Inc.","Saint Louis","MO","63103","204768985","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.6280278,-90.1910154
"10","A SAFE HAVEN FOUNDATION","Chicago","IL","60608","364444200","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.8755616,-87.6244212
"11","A.C.E. OF SOUTHWEST MINNESOTA","Slayton","MN","56172","411242095","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures; Veterans and Military Families",43.987742,-95.755846
"12","AARP Foundation","Washington","DC","20049","520794300","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.8950368,-77.0365427
"13","AB Christian Learning Center","Fort Worth","TX","76112","270141151","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",32.753177,-97.3327459
