"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"1","Better Choices",NA,NA,NA,"Practitioner Organization","Think Tank",NA,"https://BetterChoices.vote","Creating a representative democracy and ending polarization by promoting election systems that elect a candidate the voters prefer to any other candidate wins.",NA,"Robbie Robinette","2500 Hatley Drive","Austin","TX","78746","RobbieRobinette@betterChoices.vote","(512) 666-4427","National",NA,"Electoral Reform",NA,NA,NA,NA,"Voting Research,Electoral Reform,Responsive Governance","NANR",NA,NA,NA,30.2711286,-97.7436995
"2","19th News","84-2627202","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://19thnews.org/","The 19th Amendment remains unfinished business, a fact we acknowledge in our logo with an asterisk — a visible reminder of those who have been omitted from our democracy. The expansion of the franchise continues today, and The 19th aims to capture this ongoing American story.

Our goal is to empower those we serve — particularly women, people of color, and those historically underserved by American media — with the information, resources and community they need to be equal participants in our democracy.","The 19th News Network","Emily Ramshaw","3571 FAR WEST BLVD 3497","AUSTIN","TX","78731","hello@19thnews.org",NA,NA,"Journalism,Print and Digital Publication,Dialogue","Civic Media",NA,NA,"Established new network in 2024; network seems to be a part of larger democracy work, but some founding partners work beyond that scope (e.g., TeenVogue); added to coaltions - resolved 05/02",NA,"Civic Journalism,Diversity & Inclusion","The 19th News Network",NA,NA,NA,30.2711286,-97.7436995
"3","Abilene Crime Stoppers","75-1753978","501(c)(3)",NA,"Practitioner Organization",NA,NA,"http://www.abilenecrimestoppers.com/sitemenu.aspx?ID=126&","Founded March 1981, Abilene Crime Stoppers, Inc. mission is to carry out a community offensive against crime through law enforcement, the media and citizen involvement, encouraging all citizens to report anonymous information about criminal activities. Offering rewards for information that helps Law Enforcement solve unsolved crimes, and arrest wanted fugitives. Abilene Crime Stoppers, achieve this goal by maintaining a Crime Stoppers Hotline, 325 676-TIPS, Website www.abilenecrimestoppers.com and free P3Tips App for smart phones. Where anonymous tips can be communicated and received. 

Tips are then forwarded to the investigating law enforcement agency helping to solve unsolved felony crimes and arrest wanted fugitives. By offering a cash reward and guaranteeing anonymity, helps tipsters to overcome their fear of retaliation and their reluctant to be involved. It gives tipsters the ability to cooperate with their respective law enforcement agencies and keep their community safer.  
 
Abilene Crime Stoppers under its umbrella funds and oversees the Campus crime stoppers program, known as Abilene Taylor County Campus Crime Stoppers. This program includes Abilene Independent School District (AISD), Wylie ISD, Trent ISD and Jim Ned ISD. The campus crime stoppers program is coordinated through the school resource officer (SRO) or school administrator or sponsor that has been assigned to the campus crime stoppers program. Tip received about criminal activity on campus is forwarded to the school resource officer or proper law enforcement agency for follow-up, helping to keep our schools safer for all students to learn and become leaders of tomorrow. 
Abilene Crime Stoppers encompasses all communities and Independent school districts in Taylor County, Texas.",NA,"Rick Dorman","PO Box 717","Abilene","TX","79604","abilenecrimestoppers@gmail.com",NA,"Community/Local - single","Youth Engagement,Communications",NA,NA,NA,"Do crime reporting organizations fall under democracy work? falls under public safety and security - resolved 05/02",NA,"Safety and Security",NA,NA,NA,NA,32.44645,-99.7475905
"4","Access Empowerment","45-4767467","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.parkingmobility.com/","Access Empowerment engages disability communities and local governments in eight states to raise awareness on disabled parking abuse and provide a long-term solution utilizing technology and education, impacting over 4.5 million individuals. Additionally, our mission is to empower people with disabilities through technology. We are located in Austin, TX.",NA,"Mack Marsh","1101 W 34th St Ste 175","Austin","TX","78705",NA,"(512) 348-7775",NA,"Education,Technology","Civic Associations",NA,NA,NA,NA,"Diversity & Inclusion,Community Engagement and Community Building",NA,NA,NA,NA,30.2711286,-97.7436995
"5","Act in Our Community","85-1327345","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.actinourcommunity.org/","We are more than a non-profit. We are a direct action group dedicated to community restoration, social engagement, and fighting hunger in Southeast Dallas. Through our recovery facility, community garden, and urban farm we aim to bridge the gap between donors and our on-the-ground efforts to make maximum impact.",NA,"J. Winston  Booth","821 Clearfield Rd","Dallas","TX","75217","info@actinourcommunity.org","(940) 202-9271",NA,"Service and Volunteerism,Research","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Community Engagement and Community Building",NA,NA,NA,NA,32.7762719,-96.7968559
"6","Advocate Foundation","20-5245262","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://dallasfreepress.com/","Our nonprofit journalism amplifies voices in divested Dallas neighborhoods and explores solutions to our city’s systemic inequities.",NA,"Keri Mitchell","6301 Gaston Ave Ste 850","Dallas","TX","75214","info@dallasfreepress.com","469-290-4553‬","State - single","Journalism,Communications","Civic Media",NA,NA,NA,NA,"Civic Journalism",NA,NA,NA,NA,32.7762719,-96.7968559
"7","Amarillo United Citizens Forum","75-1898840","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/amarillobhcc/","THE OBJECTIVE IS TO PROVIDE AND ORGANIZE A CITIZENS FORUM TO SERVE THE COMMUNITY, IMPROVE COMMUNITY LIFE, AND OPERATE AND MAINTAIN A BLACK HISTORICAL CULTURAL CENTER.",NA,NA,"PO Box 2353","Amarillo","TX","79105","info.aucf@gmail.com","(806) 640-8184","Community/Local - single",NA,"Civic Associations",NA,NA,"AUCF does not have a website - only a Facebook page for the cultural center; discussed and resolved 03.28.24;",NA,"Community Engagement and Community Building",NA,NA,NA,NA,35.20729,-101.8371192
"8","American Values Coalition",NA,NA,NA,"Practitioner Organization,Coalition",NA,NA,"https://americanvalues.org/","Growing a community of Americans empowered to lead with truth, reject extremism and misinformation, and defend democracy.",NA,"Napp Nazworth","2250 Double Creek Dr. #6661","Round Rock","TX","78683",NA,NA,"National","Leadership Training,Print and Digital Publication","Faith-Based Efforts",NA,NA,NA,NA,"Transparency and Addressing Mis/Disinformation,Leadership Development for Healthy Democracy,Faith-Based Organizing/Engagement/Advocacy","Bridge Alliance,Citizen Connect",NA,NA,NA,30.5085915,-97.6788056
"9","American Values Project","86-3620603","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://theamericanvaluesproject.com/","The American Values Project is a non-profit organization committed to the founding values that America is strongest when our local communities are strongest. We will fight the toxic nature of our national politics by investing in local communities and the people who want to set a better example of what “a more perfect union” should look like. We believe that an educated and engaged citizenry is necessary for America to succeed and that this change must start at the local level in our homes, churches, community centers, schools, etc.

Our principles are honesty, integrity, family unity, personal responsibility, ownership of one’s community, and responsible government. Those guiding principles will allow us to build upon the great things America has stood for, does stand for, and will stand for in the future. We are strongest when our foundation is strong and the American Values Project is ready to ensure that our foundation is strong for the future!",NA,NA,"2250 Double Creek Dr Unit 6661","Round Rock","TX","78683",NA,NA,NA,NA,"Civic Education / Learning",NA,NA,"No contact information through webpage; limited understanding of what they do; perhaps 501(c)(4) arm of American values coalition - erring on the side of inclusion - resolved 04-2024;",NA,"Patriotic Values",NA,NA,NA,NA,30.5085915,-97.6788056
"10","Americans United for Separation of Church and State - San Antonio (AU San Antonio)","22-3963647","501(c)(3)","AU San Antonio","Practitioner Organization","Chapter",NA,"https://americansunitedsa.org/","Our primary goal as an organization and local chapter is to educate the American public and our community regarding the importance of religious liberty through the separation of church and state.",NA,"Eric Lane","PO Box 100806","San Antonio","TX","78201",NA,NA,"Community/Local - single","Education,Dialogue,Print and Digital Publication,Podcasts/Radio,Advocacy,Issue Campaigns","Organizing & Advocacy",NA,NA,NA,NA,"Interfaith Organizing/Engagement,Civil and Political Rights",NA,NA,NA,NA,29.4246002,-98.4951405
