"","Name","Record ID","Organization Full Name","Trimmed Name","Shorthand","Type","Sub-Type","EIN","EIN searched","Parent Org","Website","Mission/Description","Network Membership","# Networks","Network Founder","Maps Managed","Tech Tools","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Location Notes","Data Source","Tax Class/Subsection","Subsection Description","nonprofit class w description","NTEE Code","Goals","Category of Work","Methods","Self-Identified Ideology","Funder Type","External Schema","DFN Coding","Candid Subject","Candid Population","CC Primary Work","CC Topic(s)","CC Work Area(s)","CC Audiences","Link to Agora","2022 Revenue","2021 Revenue","2020 Revenue","2019 Revenue","2018 Revenue","2017 Revenue","2016 Revenue","2015 Revenue","Full Data","FLAG FOR REVIEW","Reason for flag/review","Flagged/unflagged by","Notes","Last modified","Created by","Orgs & Funders table","Latest Tax Year (from Link to Agora)","DFN 990 data","Last modified by","Ruling Year","IRS Org Name","Resolved","Resolved by","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","Latitude","Longitude","lat","long"
"1","Woodmen of the World-Omaha Woodmen Life Insurance Society",10174,"Woodmen of the World-Omaha Woodmen Life Insurance Society","Woodmen of the World-Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","57-0723114",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 93","Society Hill","SC",29593,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5126567,-79.8508976
"2","Woodmen of the World-Omaha Woodmen Life Insurance Society",10175,"Woodmen of the World-Omaha Woodmen Life Insurance Society","Woodmen of the World-Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","55-0622775",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1700 Farnam St","Omaha","NE",68102,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2587459,-95.9383758
"3","Woodmen of the World-Omaha Woodmen Life Insurance Society",10176,"Woodmen of the World-Omaha Woodmen Life Insurance Society","Woodmen of the World-Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","38-2196450",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1700 Farnam St","Omaha","NE",68102,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2587459,-95.9383758
"4","Woodmen of the World Omaha Woodmen TX-1996",10173,"Woodmen of the World Omaha Woodmen TX-1996","Woodmen of the World Omaha Woodmen TX-1996",NA,"Practitioner Organization","Chapter","23-7630259",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 210","Pattison","TX",77466,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8252297,-95.9949564
"5","Woodmen of the World Omaha Woodmen Life Insurance Society",9191,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630823",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1727 Roellen Newbern Rd","Dyersburg","TN",38024,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0346393,-89.3857496
"6","Woodmen of the World Omaha Woodmen Life Insurance Society",9192,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629220",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"105 Lansdowne Ct","Madison","AL",35757,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6928726,-86.7511427
"7","Woodmen of the World Omaha Woodmen Life Insurance Society",9193,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7631115",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"464 Davis Pond Rd","Swansea","SC",29160,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7382088,-81.0978734
"8","Woodmen of the World Omaha Woodmen Life Insurance Society",9194,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","36-3963406",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"911 Osborn Ave","Kennett","MO",63857,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2381082,-90.0551598
"9","Woodmen of the World Omaha Woodmen Life Insurance Society",9195,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","51-0237054",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"165 Covington Ln","Waco","KY",40385,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7425804,-84.1440947
"10","Woodmen of the World Omaha Woodmen Life Insurance Society",9196,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630229",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"FM 1544 219a","Sweetwater","TX",79556,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4709519,-100.405938
